Product Name,Launch Date,Total Cores,Max Turbo Frequency,Cache,Processor Graphics ‡
Intel® Core™ i5 processor 14600K,Q4'23,14,5.3 GHz,24 MB Intel® Smart Cache,Intel® UHD Graphics 770
Intel® Core™ i5 processor 14600KF,Q4'23,14,5.3 GHz,24 MB Intel® Smart Cache,
Intel® Core™ i7 processor 14700K,Q4'23,20,5.6 GHz,33 MB Intel® Smart Cache,Intel® UHD Graphics 770
Intel® Core™ i7 processor 14700KF,Q4'23,20,5.6 GHz,33 MB Intel® Smart Cache,
Intel® Core™ i9 processor 14900K,Q4'23,24,6 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics 770
Intel® Core™ i9 processor 14900KF,Q4'23,24,6 GHz,36 MB Intel® Smart Cache,
Intel® Core™ i9-13900KS Processor,Q1'23,24,6.00 GHz,36 MB Intel® Smart Cache,Intel® UHD Graphics 770
Intel® Core™ i3-1305U Processor,Q1'23,5,4.50 GHz,10 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors
Intel® Core™ i3-13100 Processor,Q1'23,4,4.50 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics 730
Intel® Core™ i3-13100E Processor,Q1'23,4,4.40 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics 730
Intel® Core™ i3-13100F Processor,Q1'23,4,4.50 GHz,12 MB Intel® Smart Cache,
Intel® Core™ i3-13100T Processor,Q1'23,4,4.20 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics 770
Intel® Core™ i3-13100TE Processor,Q1'23,4,4.10 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics 730
Intel® Core™ i3-1315U Processor,Q1'23,6,4.50 GHz,10 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors
Intel® Core™ i3-1315U Processor,Q1'23,6,4.50 GHz,10 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors
Intel® Core™ i3-1315UE Processor,Q1'23,6,4.50 GHz,10 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors
Intel® Core™ i3-1315URE Processor,Q1'23,6,4.50 GHz,10 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors
Intel® Core™ i3-1320PE Processor,Q1'23,8,4.50 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors
Intel® Core™ i3-13300HE Processor,Q1'23,8,4.60 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors
Intel® Core™ i3-N300 Processor,Q1'23,8,3.80 GHz,6 MB Intel® Smart Cache,Intel® UHD Graphics
Intel® Core™ i3-N305 Processor,Q1'23,8,3.80 GHz,6 MB Intel® Smart Cache,Intel® UHD Graphics
Intel® Core™ i5-1334U Processor,Q1'23,10,4.60 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible
Intel® Core™ i5-1335U Processor,Q1'23,10,4.60 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible
Intel® Core™ i5-1335UE Processor,Q1'23,10,4.50 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible
Intel® Core™ i5-13400 Processor,Q1'23,10,4.60 GHz,20 MB Intel® Smart Cache,Intel® UHD Graphics 730
Intel® Core™ i5-13400E Processor,Q1'23,10,4.60 GHz,20 MB Intel® Smart Cache,Intel® UHD Graphics 730
Intel® Core™ i5-13400F Processor,Q1'23,10,4.60 GHz,20 MB Intel® Smart Cache,
Intel® Core™ i5-13400T Processor,Q1'23,10,4.40 GHz,20 MB Intel® Smart Cache,Intel® UHD Graphics 730
Intel® Core™ i5-1340P Processor,Q1'23,12,4.60 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible
Intel® Core™ i5-1340PE Processor,Q1'23,12,4.50 GHz,12 MB Intel® Smart Cache,Intel® Iris® Xe Graphics eligible
Intel® Core™ i5-13420H Processor,Q1'23,8,4.60 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors
Intel® Core™ i5-13450HX Processor,Q1'23,10,4.60 GHz,20 MB Intel® Smart Cache,Intel® UHD Graphics for 13th Gen Intel® Processors
